Name,Price,Bottle size
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>800.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1627"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>898.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1608"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS SHIRAZ THE WINE CO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>650.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1634"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS SPARKLING BLUE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>498.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2395"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS SPARKLING RED</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>498.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2396"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS SPARKLING WHITE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>498.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2397"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS WHITE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>430.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1731"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">VIRGIN HILLS ZINFANDEL ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>898.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1635"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK ALL ROUNDER SAUVIGNON CHENIN</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>550.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1803"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK ALL ROUNDER SHIRAZ CABERNET</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>550.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1804"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK CABERNET MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>850.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-922"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK CHENIN BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>380.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-923"" data-toggle=""collapse"" type=""button""><span>375ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK G9 PORT WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>250.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2431"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK H BLOCK CHARDONNAY</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>995.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-924"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>750.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1806"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>795.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1807"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">YORK SPARKLING CUVEE BRUT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1250.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-988"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ZAMPA SOIREE BRUT MAGNIFIQUE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1475.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2314"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AMARIS MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2249.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1431"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AMARIS PINOT GRIGIO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2249.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1432"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AMARIS PINOT NOIR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2100.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1323"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ARGENTO PINOT GRIGIO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1850.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1656"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AMARIS RIESLING</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2495.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2602"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">STORY TELLERS CHARDONNAY</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1600.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2603"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">STORY TELLERS MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1600.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2604"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">1959 GEWURZTRAMINER</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1825.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2627"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">1959 RIESLING</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1825.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2626"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">1959 SINGLE VARIETAL CABERNET SAUVIGNON</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1695.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2584"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">1959 SINGLE VARIETAL MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1695.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2585"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">1959 SINGLE VARIETAL PINOT NOIR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1825.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2586"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">1959 SINGLE VARIETAL SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1695.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2587"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">29 CABERNET SAUVIGNON</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1970.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-593"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">9 LIVES CABERNET SAUVIGNON</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2395.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2610"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">9 LIVES CARMENERE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2350.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2611"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">9 LIVES MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2350.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2612"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">9 LIVES RIESLING</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2295.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2582"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">9 LIVES SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2275.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2613"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">958 SANTERO ICE MOSCATO DRY</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2750.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-792"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ACHELO CORTONA LA BRACC SYRAH</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3540.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-567"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AG CHARDONNAY</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1595.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-568"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AG MALBEC SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1595.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-569"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AIX PROVENCE ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>4195.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1764"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALAMBRE MOSCATEL DE SETUBAL</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1070.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-570"" data-toggle=""collapse"" type=""button""><span>375ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALEXIS LECHINE SAINT EMILION</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>4900.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1899"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALLAN SCOTT BASE PINOT NOIR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>5100.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1581"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALLAN SCOTT ESTATE SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2575.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-816"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALLAN SCOTT FAMILY WINEMAKERS ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3590.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2073"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALLAN SCOTT MARLBOROUGH PINOT NOIR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3950.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1397"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALLAN SCOTT MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2575.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-571"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALLEGRINI AMARONE DELLA VALPOLICELLA CLASSICO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>14500.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1959"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALSACE GEWURZTRAMINER</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>4200.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-89"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ALTER EGO RED WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>25000.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2010"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ANNAS WAY PINOT GRIS</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3175.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2553"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ANNAS WAY PINOT NOIR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3295.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-574"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ANTARES CABERNET SAUVIGNON</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1700.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-582"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ANTARES CARMENERE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1700.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1689"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ANTARES SAUVIGNON BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1700.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1691"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ANTARES SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1700.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1611"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ARGENTO MALBEC MENDOZA ARGENTINA</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1850.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1439"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">ARMAND DE BRIGNAC BRUT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>64794.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2106"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AVALON CABERNET SAUVIGNON</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2950.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1707"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">AVALON PINOT NOIR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2995.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2252"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BADIOLA TOSCANA MAZZEI</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2599.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1257"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BAI GORRI CRIANZA</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>4865.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2476"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BAI GORRI ROSADO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3680.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2477"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BALANCE CABERNET SAUVIGNON MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1950.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-800"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BALANCE CHENIN COLOMBAR</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1950.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-801"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BALANCE PINOTAGE SHIRAZ</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1950.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-802"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BALANCE SAUVIGNON BLANC SEMILLON</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1950.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-803"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BARON PHILIPPE CADET D OC MERLOT</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1895.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2470"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BARON PHILIPPE DE ROTHSCHILD CABERNET SAUVIGNON VIN DE PAYS DOC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1895.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-529"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BARON PHILIPPE DE ROTHSCHILD CADET DOC CHARDONNAY</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1895.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-577"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">BARON PHILIPPE DE ROTHSCHILD MERLOT VIN DE PAYS DOC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1895.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-530"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
